,,,,,Monthly,,,,,,,,Annual,,,,,,,,Rankings,,,,
4,AL,1007,Bibb County,1p1c,809,452,1523,769,446,520,687,5206,"$9,708","$5,424","$18,276","$9,228","$5,352","$6,240","$8,244","$62,472","  70,064 ",67,19,34,25
4,AL,1007,Bibb County,1p2c,809,661,1680,1019,520,1042,833,6564,"$9,708","$7,932","$20,160","$12,228","$6,240","$12,504","$9,996","$78,768","  70,064 ",67,19,34,25
4,AL,1007,Bibb County,1p3c,1035,882,1787,1270,679,1202,1064,7920,"$12,420","$10,584","$21,444","$15,240","$8,148","$14,424","$12,768","$95,040","  70,064 ",67,19,34,25
4,AL,1007,Bibb County,1p4c,1035,1080,1864,1521,749,1202,1290,8741,"$12,420","$12,960","$22,368","$18,252","$8,988","$14,424","$15,480","$104,892","  70,064 ",67,19,34,25
4,AL,1007,Bibb County,2p0c,709,562,1463,1037,450,0,734,4954,"$8,508","$6,744","$17,556","$12,444","$5,400",$0,"$8,808","$59,448","  70,064 ",67,19,34,25
4,AL,1007,Bibb County,2p1c,809,699,1611,1287,534,520,844,6305,"$9,708","$8,388","$19,332","$15,444","$6,408","$6,240","$10,128","$75,660","  70,064 ",67,19,34,25
4,AL,1007,Bibb County,2p2c,809,885,1712,1538,600,1042,922,7507,"$9,708","$10,620","$20,544","$18,456","$7,200","$12,504","$11,064","$90,084","  70,064 ",67,19,34,25
4,AL,1007,Bibb County,2p3c,1035,1081,1783,1788,749,1202,1044,8683,"$12,420","$12,972","$21,396","$21,456","$8,988","$14,424","$12,528","$104,196","  70,064 ",67,19,34,25
4,AL,1007,Bibb County,2p4c,1035,1323,1840,2039,835,1202,1252,9526,"$12,420","$15,876","$22,080","$24,468","$10,020","$14,424","$15,024","$114,312","  70,064 ",67,19,34,25
5,AL,1009,Blount County,1p0c,605,302,1150,518,321,0,556,3453,"$7,260","$3,624","$13,800","$6,216","$3,852",$0,"$6,672","$41,436","  73,528 ",67,9,32,16
5,AL,1009,Blount County,1p1c,751,445,1504,769,423,814,733,5440,"$9,012","$5,340","$18,048","$9,228","$5,076","$9,768","$8,796","$65,280","  73,528 ",67,9,32,16
5,AL,1009,Blount County,1p2c,751,651,1666,1019,496,1463,940,6986,"$9,012","$7,812","$19,992","$12,228","$5,952","$17,556","$11,280","$83,832","  73,528 ",67,9,32,16
5,AL,1009,Blount County,1p3c,962,869,1776,1270,648,1663,1190,8377,"$11,544","$10,428","$21,312","$15,240","$7,776","$19,956","$14,280","$100,524","  73,528 ",67,9,32,16
5,AL,1009,Blount County,1p4c,962,1064,1854,1521,717,1663,1420,9200,"$11,544","$12,768","$22,248","$18,252","$8,604","$19,956","$17,040","$110,400","  73,528 ",67,9,32,16
5,AL,1009,Blount County,2p0c,658,553,1447,1037,429,0,710,4835,"$7,896","$6,636","$17,364","$12,444","$5,148",$0,"$8,520","$58,020","  73,528 ",67,9,32,16
5,AL,1009,Blount County,2p1c,751,689,1599,1287,510,814,891,6540,"$9,012","$8,268","$19,188","$15,444","$6,120","$9,768","$10,692","$78,480","  73,528 ",67,9,32,16
5,AL,1009,Blount County,2p2c,751,871,1702,1538,574,1463,1001,7901,"$9,012","$10,452","$20,424","$18,456","$6,888","$17,556","$12,012","$94,812","  73,528 ",67,9,32,16
5,AL,1009,Blount County,2p3c,962,1064,1776,1788,717,1663,1152,9122,"$11,544","$12,768","$21,312","$21,456","$8,604","$19,956","$13,824","$109,464","  73,528 ",67,9,32,16
5,AL,1009,Blount County,2p4c,962,1303,1834,2039,802,1663,1363,9964,"$11,544","$15,636","$22,008","$24,468","$9,624","$19,956","$16,356","$119,568","  73,528 ",67,9,32,16
6,AL,1011,Bullock County,1p0c,620,360,1208,470,347,0,582,3586,"$7,440","$4,320","$14,496","$5,640","$4,164",$0,"$6,984","$43,032","  43,750 ",67,21,2,66
6,AL,1011,Bullock County,1p1c,820,530,1420,697,478,543,680,5169,"$9,840","$6,360","$17,040","$8,364","$5,736","$6,516","$8,160","$62,028","  43,750 ",67,21,2,66
6,AL,1011,Bullock County,1p2c,820,775,1545,924,565,1080,825,6535,"$9,840","$9,300","$18,540","$11,088","$6,780","$12,960","$9,900","$78,420","  43,750 ",67,21,2,66
6,AL,1011,Bullock County,1p3c,999,1035,1637,1152,720,1245,1038,7826,"$11,988","$12,420","$19,644","$13,824","$8,640","$14,940","$12,456","$93,912","  43,750 ",67,21,2,66
6,AL,1011,Bullock County,1p4c,999,1268,1705,1379,803,1245,1269,8666,"$11,988","$15,216","$20,460","$16,548","$9,636","$14,940","$15,228","$103,992","  43,750 ",67,21,2,66
6,AL,1011,Bullock County,2p0c,631,659,1359,941,457,0,692,4738,"$7,572","$7,908","$16,308","$11,292","$5,484",$0,"$8,304","$56,856","  43,750 ",67,21,2,66
6,AL,1011,Bullock County,2p1c,820,820,1476,1168,581,543,831,6239,"$9,840","$9,840","$17,712","$14,016","$6,972","$6,516","$9,972","$74,868","  43,750 ",67,21,2,66
6,AL,1011,Bullock County,2p2c,820,1038,1562,1395,658,1080,914,7468,"$9,840","$12,456","$18,744","$16,740","$7,896","$12,960","$10,968","$89,616","  43,750 ",67,21,2,66
6,AL,1011,Bullock County,2p3c,999,1268,1626,1622,803,1245,1019,8582,"$11,988","$15,216","$19,512","$19,464","$9,636","$14,940","$12,228","$102,984","  43,750 ",67,21,2,66
6,AL,1011,Bullock County,2p4c,999,1552,1753,1849,903,1245,1261,9562,"$11,988","$18,624","$21,036","$22,188","$10,836","$14,940","$15,132","$114,744","  43,750 ",67,21,2,66
7,AL,1013,Butler County,1p0c,576,306,1221,487,312,0,558,3461,"$6,912","$3,672","$14,652","$5,844","$3,744",$0,"$6,696","$41,532","  59,217 ",67,35,14,56
7,AL,1013,Butler County,1p1c,761,452,1431,723,429,546,643,4985,"$9,132","$5,424","$17,172","$8,676","$5,148","$6,552","$7,716","$59,820","  59,217 ",67,35,14,56
7,AL,1013,Butler County,1p2c,761,661,1553,959,503,1086,763,6287,"$9,132","$7,932","$18,636","$11,508","$6,036","$13,032","$9,156","$75,444","  59,217 ",67,35,14,56
7,AL,1013,Butler County,1p3c,926,882,1644,1194,640,1252,941,7481,"$11,112","$10,584","$19,728","$14,328","$7,680","$15,024","$11,292","$89,772","  59,217 ",67,35,14,56
7,AL,1013,Butler County,1p4c,926,1080,1711,1430,710,1252,1159,8268,"$11,112","$12,960","$20,532","$17,160","$8,520","$15,024","$13,908","$99,216","  59,217 ",67,35,14,56
7,AL,1013,Butler County,2p0c,664,562,1368,975,434,0,681,4684,"$7,968","$6,744","$16,416","$11,700","$5,208",$0,"$8,172","$56,208","  59,217 ",67,35,14,56
7,AL,1013,Butler County,2p1c,761,699,1484,1210,517,546,784,6002,"$9,132","$8,388","$17,808","$14,520","$6,204","$6,552","$9,408","$72,024","  59,217 ",67,35,14,56
7,AL,1013,Butler County,2p2c,761,885,1569,1446,583,1086,858,7188,"$9,132","$10,620","$18,828","$17,352","$6,996","$13,032","$10,296","$86,256","  59,217 ",67,35,14,56
7,AL,1013,Butler County,2p3c,926,1081,1631,1682,711,1252,938,8220,"$11,112","$12,972","$19,572","$20,184","$8,532","$15,024","$11,256","$98,640","  59,217 ",67,35,14,56
7,AL,1013,Butler County,2p4c,926,1323,1758,1917,796,1252,1151,9124,"$11,112","$15,876","$21,096","$23,004","$9,552","$15,024","$13,812","$109,488","  59,217 ",67,35,14,56
8,AL,1015,Calhoun County,1p0c,605,337,1065,489,334,0,540,3369,"$7,260","$4,044","$12,780","$5,868","$4,008",$0,"$6,480","$40,428","  68,959 ",67,43,44,28
8,AL,1015,Calhoun County,1p1c,802,497,1282,724,460,485,621,4870,"$9,624","$5,964","$15,384","$8,688","$5,520","$5,820","$7,452","$58,440","  68,959 ",67,43,44,28
8,AL,1015,Calhoun County,1p2c,802,727,1405,960,541,969,724,6130,"$9,624","$8,724","$16,860","$11,520","$6,492","$11,628","$8,688","$73,560","  68,959 ",67,43,44,28
8,AL,1015,Calhoun County,1p3c,1088,971,1494,1196,729,1118,964,7560,"$13,056","$11,652","$17,928","$14,352","$8,748","$13,416","$11,568","$90,720","  68,959 ",67,43,44,28
8,AL,1015,Calhoun County,1p4c,1088,1189,1627,1432,806,1118,1216,8476,"$13,056","$14,268","$19,524","$17,184","$9,672","$13,416","$14,592","$101,712","  68,959 ",67,43,44,28
8,AL,1015,Calhoun County,2p0c,609,618,1232,977,434,0,649,4520,"$7,308","$7,416","$14,784","$11,724","$5,208",$0,"$7,788","$54,240","  68,959 ",67,43,44,28
8,AL,1015,Calhoun County,2p1c,802,769,1349,1213,556,485,774,5948,"$9,624","$9,228","$16,188","$14,556","$6,672","$5,820","$9,288","$71,376","  68,959 ",67,43,44,28
8,AL,1015,Calhoun County,2p2c,802,974,1433,1449,629,969,840,7095,"$9,624","$11,688","$17,196","$17,388","$7,548","$11,628","$10,080","$85,140","  68,959 ",67,43,44,28
8,AL,1015,Calhoun County,2p3c,1088,1189,1562,1685,806,1118,982,8430,"$13,056","$14,268","$18,744","$20,220","$9,672","$13,416","$11,784","$101,160","  68,959 ",67,43,44,28
8,AL,1015,Calhoun County,2p4c,1088,1456,1614,1920,901,1118,1192,9289,"$13,056","$17,472","$19,368","$23,040","$10,812","$13,416","$14,304","$111,468","  68,959 ",67,43,44,28
9,AL,1017,Chambers County,1p0c,688,305,1103,470,352,0,561,3480,"$8,256","$3,660","$13,236","$5,640","$4,224",$0,"$6,732","$41,760","  60,000 ",67,29,12,51
9,AL,1017,Chambers County,1p1c,911,450,1315,697,482,593,670,5118,"$10,932","$5,400","$15,780","$8,364","$5,784","$7,116","$8,040","$61,416","  60,000 ",67,29,12,51
9,AL,1017,Chambers County,1p2c,911,659,1439,924,556,1149,801,6439,"$10,932","$7,908","$17,268","$11,088","$6,672","$13,788","$9,612","$77,268","  60,000 ",67,29,12,51
9,AL,1017,Chambers County,1p3c,1109,880,1530,1152,704,1320,1002,7697,"$13,308","$10,560","$18,360","$13,824","$8,448","$15,840","$12,024","$92,364","  60,000 ",67,29,12,51
9,AL,1017,Chambers County,1p4c,1109,1077,1598,1379,774,1320,1214,8471,"$13,308","$12,924","$19,176","$16,548","$9,288","$15,840","$14,568","$101,652","  60,000 ",67,29,12,51
9,AL,1017,Chambers County,2p0c,692,560,1262,941,443,0,656,4554,"$8,304","$6,720","$15,144","$11,292","$5,316",$0,"$7,872","$54,648","  60,000 ",67,29,12,51
9,AL,1017,Chambers County,2p1c,911,697,1379,1168,569,593,809,6126,"$10,932","$8,364","$16,548","$14,016","$6,828","$7,116","$9,708","$73,512","  60,000 ",67,29,12,51
9,AL,1017,Chambers County,2p2c,911,882,1465,1395,635,1149,885,7322,"$10,932","$10,584","$17,580","$16,740","$7,620","$13,788","$10,620","$87,864","  60,000 ",67,29,12,51
9,AL,1017,Chambers County,2p3c,1109,1078,1527,1622,774,1320,976,8406,"$13,308","$12,936","$18,324","$19,464","$9,288","$15,840","$11,712","$100,872","  60,000 ",67,29,12,51
9,AL,1017,Chambers County,2p4c,1109,1319,1651,1849,860,1320,1196,9303,"$13,308","$15,828","$19,812","$22,188","$10,320","$15,840","$14,352","$111,636","  60,000 ",67,29,12,51
10,AL,1019,Cherokee County,1p0c,574,310,1117,487,313,0,533,3335,"$6,888","$3,720","$13,404","$5,844","$3,756",$0,"$6,396","$40,020","  63,429 ",67,64,40,41
10,AL,1019,Cherokee County,1p1c,759,457,1346,723,431,331,570,4617,"$9,108","$5,484","$16,152","$8,676","$5,172","$3,972","$6,840","$55,404","  63,429 ",67,64,40,41
10,AL,1019,Cherokee County,1p2c,759,669,1481,959,506,662,610,5645,"$9,108","$8,028","$17,772","$11,508","$6,072","$7,944","$7,320","$67,740","  63,429 ",67,64,40,41
10,AL,1019,Cherokee County,1p3c,959,893,1581,1194,656,764,764,6811,"$11,508","$10,716","$18,972","$14,328","$7,872","$9,168","$9,168","$81,732","  63,429 ",67,64,40,41
10,AL,1019,Cherokee County,1p4c,959,1094,1654,1430,727,764,974,7602,"$11,508","$13,128","$19,848","$17,160","$8,724","$9,168","$11,688","$91,224","  63,429 ",67,64,40,41
10,AL,1019,Cherokee County,2p0c,584,569,1291,975,408,0,639,4465,"$7,008","$6,828","$15,492","$11,700","$4,896",$0,"$7,668","$53,580","  63,429 ",67,64,40,41
10,AL,1019,Cherokee County,2p1c,759,708,1418,1210,519,331,717,5663,"$9,108","$8,496","$17,016","$14,520","$6,228","$3,972","$8,604","$67,956","  63,429 ",67,64,40,41
10,AL,1019,Cherokee County,2p2c,759,896,1511,1446,586,662,739,6600,"$9,108","$10,752","$18,132","$17,352","$7,032","$7,944","$8,868","$79,200","  63,429 ",67,64,40,41
10,AL,1019,Cherokee County,2p3c,959,1094,1580,1682,727,764,815,7621,"$11,508","$13,128","$18,960","$20,184","$8,724","$9,168","$9,780","$91,452","  63,429 ",67,64,40,41
10,AL,1019,Cherokee County,2p4c,959,1339,1710,1917,814,764,998,8501,"$11,508","$16,068","$20,520","$23,004","$9,768","$9,168","$11,976","$102,012","  63,429 ",67,64,40,41
11,AL,1021,Chilton County,1p0c,617,326,1131,518,334,0,563,3489,"$7,404","$3,912","$13,572","$6,216","$4,008",$0,"$6,756","$41,868","  72,090 ",67,30,49,19
11,AL,1021,Chilton County,1p1c,755,481,1366,769,437,537,644,4990,"$9,060","$5,772","$16,392","$9,228","$5,244","$6,444","$7,728","$59,880","  72,090 ",67,30,49,19
11,AL,1021,Chilton County,1p2c,755,703,1502,1019,516,1045,769,6310,"$9,060","$8,436","$18,024","$12,228","$6,192","$12,540","$9,228","$75,720","  72,090 ",67,30,49,19
11,AL,1021,Chilton County,1p3c,1036,939,1600,1270,699,1201,1022,7767,"$12,432","$11,268","$19,200","$15,240","$8,388","$14,412","$12,264","$93,204","  72,090 ",67,30,49,19
11,AL,1021,Chilton County,1p4c,1036,1149,1743,1521,774,1201,1279,8704,"$12,432","$13,788","$20,916","$18,252","$9,288","$14,412","$15,348","$104,448","  72,090 ",67,30,49,19
11,AL,1021,Chilton County,2p0c,634,598,1310,1037,436,0,684,4698,"$7,608","$7,176","$15,720","$12,444","$5,232",$0,"$8,208","$56,376","  72,090 ",67,30,49,19
11,AL,1021,Chilton County,2p1c,755,744,1437,1287,531,537,802,6094,"$9,060","$8,928","$17,244","$15,444","$6,372","$6,444","$9,624","$73,128","  72,090 ",67,30,49,19
11,AL,1021,Chilton County,2p2c,755,941,1529,1538,601,1045,878,7287,"$9,060","$11,292","$18,348","$18,456","$7,212","$12,540","$10,536","$87,444","  72,090 ",67,30,49,19
11,AL,1021,Chilton County,2p3c,1036,1150,1667,1788,774,1201,1036,8653,"$12,432","$13,800","$20,004","$21,456","$9,288","$14,412","$12,432","$103,836","  72,090 ",67,30,49,19
11,AL,1021,Chilton County,2p4c,1036,1408,1725,2039,865,1201,1251,9525,"$12,432","$16,896","$20,700","$24,468","$10,380","$14,412","$15,012","$114,300","  72,090 ",67,30,49,19
12,AL,1023,Choctaw County,1p0c,560,313,1169,470,309,0,538,3359,"$6,720","$3,756","$14,028","$5,640","$3,708",$0,"$6,456","$40,308","  64,349 ",67,51,30,39
12,AL,1023,Choctaw County,1p1c,740,461,1428,697,425,449,609,4809,"$8,880","$5,532","$17,136","$8,364","$5,100","$5,388","$7,308","$57,708","  64,349 ",67,51,30,39
12,AL,1023,Choctaw County,1p2c,740,675,1582,924,501,898,696,6017,"$8,880","$8,100","$18,984","$11,088","$6,012","$10,776","$8,352","$72,204","  64,349 ",67,51,30,39
12,AL,1023,Choctaw County,1p3c,921,901,1695,1152,645,1036,869,7219,"$11,052","$10,812","$20,340","$13,824","$7,740","$12,432","$10,428","$86,628","  64,349 ",67,51,30,39
12,AL,1023,Choctaw County,1p4c,921,1103,1779,1379,717,1036,1092,8027,"$11,052","$13,236","$21,348","$16,548","$8,604","$12,432","$13,104","$96,324","  64,349 ",67,51,30,39
12,AL,1023,Choctaw County,2p0c,562,574,1366,941,402,0,643,4488,"$6,744","$6,888","$16,392","$11,292","$4,824",$0,"$7,716","$53,856","  64,349 ",67,51,30,39
12,AL,1023,Choctaw County,2p1c,740,714,1510,1168,515,449,754,5850,"$8,880","$8,568","$18,120","$14,016","$6,180","$5,388","$9,048","$70,200","  64,349 ",67,51,30,39
12,AL,1023,Choctaw County,2p2c,740,904,1616,1395,582,898,809,6944,"$8,880","$10,848","$19,392","$16,740","$6,984","$10,776","$9,708","$83,328","  64,349 ",67,51,30,39
12,AL,1023,Choctaw County,2p3c,921,1104,1694,1622,717,1036,889,7983,"$11,052","$13,248","$20,328","$19,464","$8,604","$12,432","$10,668","$95,796","  64,349 ",67,51,30,39
12,AL,1023,Choctaw County,2p4c,921,1351,1836,1849,804,1036,1094,8891,"$11,052","$16,212","$22,032","$22,188","$9,648","$12,432","$13,128","$106,692","  64,349 ",67,51,30,39
13,AL,1025,Clarke County,1p0c,560,307,1140,487,307,0,533,3335,"$6,720","$3,684","$13,680","$5,844","$3,684",$0,"$6,396","$40,020","  64,688 ",67,36,23,36
13,AL,1025,Clarke County,1p1c,740,453,1387,723,422,559,629,4915,"$8,880","$5,436","$16,644","$8,676","$5,064","$6,708","$7,548","$58,980","  64,688 ",67,36,23,36
13,AL,1025,Clarke County,1p2c,740,663,1532,959,497,1119,759,6268,"$8,880","$7,956","$18,384","$11,508","$5,964","$13,428","$9,108","$75,216","  64,688 ",67,36,23,36
13,AL,1025,Clarke County,1p3c,1052,885,1638,1194,686,1291,1022,7768,"$12,624","$10,620","$19,656","$14,328","$8,232","$15,492","$12,264","$93,216","  64,688 ",67,36,23,36
13,AL,1025,Clarke County,1p4c,1052,1084,1716,1430,756,1291,1241,8570,"$12,624","$13,008","$20,592","$17,160","$9,072","$15,492","$14,892","$102,840","  64,688 ",67,36,23,36
13,AL,1025,Clarke County,2p0c,573,563,1325,975,402,0,642,4481,"$6,876","$6,756","$15,900","$11,700","$4,824",$0,"$7,704","$53,772","  64,688 ",67,36,23,36
13,AL,1025,Clarke County,2p1c,740,701,1461,1210,510,559,776,5958,"$8,880","$8,412","$17,532","$14,520","$6,120","$6,708","$9,312","$71,496","  64,688 ",67,36,23,36
13,AL,1025,Clarke County,2p2c,740,887,1560,1446,576,1119,858,7187,"$8,880","$10,644","$18,720","$17,352","$6,912","$13,428","$10,296","$86,244","  64,688 ",67,36,23,36
13,AL,1025,Clarke County,2p3c,1052,1084,1632,1682,756,1291,998,8495,"$12,624","$13,008","$19,584","$20,184","$9,072","$15,492","$11,976","$101,940","  64,688 ",67,36,23,36
13,AL,1025,Clarke County,2p4c,1052,1327,1766,1917,842,1291,1225,9421,"$12,624","$15,924","$21,192","$23,004","$10,104","$15,492","$14,700","$113,052","  64,688 ",67,36,23,36
14,AL,1027,Clay County,1p0c,520,297,1162,487,289,0,522,3278,"$6,240","$3,564","$13,944","$5,844","$3,468",$0,"$6,264","$39,336","  60,216 ",67,60,22,50
14,AL,1027,Clay County,1p1c,740,438,1384,723,417,442,594,4738,"$8,880","$5,256","$16,608","$8,676","$5,004","$5,304","$7,128","$56,856","  60,216 ",67,60,22,50
14,AL,1027,Clay County,1p2c,740,641,1515,959,489,833,650,5826,"$8,880","$7,692","$18,180","$11,508","$5,868","$9,996","$7,800","$69,912","  60,216 ",67,60,22,50
14,AL,1027,Clay County,1p3c,1001,856,1611,1194,657,954,842,7115,"$12,012","$10,272","$19,332","$14,328","$7,884","$11,448","$10,104","$85,380","  60,216 ",67,60,22,50
14,AL,1027,Clay County,1p4c,1001,1048,1682,1430,725,954,1056,7896,"$12,012","$12,576","$20,184","$17,160","$8,700","$11,448","$12,672","$94,752","  60,216 ",67,60,22,50
14,AL,1027,Clay County,2p0c,626,545,1326,975,414,0,653,4539,"$7,512","$6,540","$15,912","$11,700","$4,968",$0,"$7,836","$54,468","  60,216 ",67,60,22,50
14,AL,1027,Clay County,2p1c,740,678,1449,1210,502,442,736,5756,"$8,880","$8,136","$17,388","$14,520","$6,024","$5,304","$8,832","$69,072","  60,216 ",67,60,22,50
14,AL,1027,Clay County,2p2c,740,858,1539,1446,566,833,771,6753,"$8,880","$10,296","$18,468","$17,352","$6,792","$9,996","$9,252","$81,036","  60,216 ",67,60,22,50
14,AL,1027,Clay County,2p3c,1001,1048,1606,1682,725,954,869,7885,"$12,012","$12,576","$19,272","$20,184","$8,700","$11,448","$10,428","$94,620","  60,216 ",67,60,22,50
14,AL,1027,Clay County,2p4c,1001,1283,1735,1917,809,954,1061,8759,"$12,012","$15,396","$20,820","$23,004","$9,708","$11,448","$12,732","$105,108","  60,216 ",67,60,22,50
15,AL,1029,Cleburne County,1p0c,561,340,1125,470,319,0,537,3352,"$6,732","$4,080","$13,500","$5,640","$3,828",$0,"$6,444","$40,224","  71,833 ",67,54,55,20
15,AL,1029,Cleburne County,1p1c,741,501,1359,697,440,442,603,4783,"$8,892","$6,012","$16,308","$8,364","$5,280","$5,304","$7,236","$57,396","  71,833 ",67,54,55,20
15,AL,1029,Cleburne County,1p2c,741,733,1496,924,522,833,674,5923,"$8,892","$8,796","$17,952","$11,088","$6,264","$9,996","$8,088","$71,076","  71,833 ",67,54,55,20
15,AL,1029,Cleburne County,1p3c,966,979,1596,1152,689,954,863,7198,"$11,592","$11,748","$19,152","$13,824","$8,268","$11,448","$10,356","$86,376","  71,833 ",67,54,55,20
15,AL,1029,Cleburne County,1p4c,966,1199,1670,1379,766,954,1092,8024,"$11,592","$14,388","$20,040","$16,548","$9,192","$11,448","$13,104","$96,288","  71,833 ",67,54,55,20
